C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 33
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 98
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 140
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 232
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 247
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 297
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 322
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 330
C3-C4 (Brut 0-1023) : 12 	 | 	 C5-C6 (Brut 0-1023) : 358
C3-C4 (Brut 0-1023) : 17 	 | 	 C5-C6 (Brut 0-1023) : 393
C3-C4 (Brut 0-1023) : 36 	 | 	 C5-C6 (Brut 0-1023) : 388
C3-C4 (Brut 0-1023) : 53 	 | 	 C5-C6 (Brut 0-1023) : 430
C3-C4 (Brut 0-1023) : 56 	 | 	 C5-C6 (Brut 0-1023) : 470
C3-C4 (Brut 0-1023) : 62 	 | 	 C5-C6 (Brut 0-1023) : 485
C3-C4 (Brut 0-1023) : 70 	 | 	 C5-C6 (Brut 0-1023) : 491
C3-C4 (Brut 0-1023) : 79 	 | 	 C5-C6 (Brut 0-1023) : 512
C3-C4 (Brut 0-1023) : 80 	 | 	 C5-C6 (Brut 0-1023) : 520
C3-C4 (Brut 0-1023) : 79 	 | 	 C5-C6 (Brut 0-1023) : 533
C3-C4 (Brut 0-1023) : 82 	 | 	 C5-C6 (Brut 0-1023) : 560
C3-C4 (Brut 0-1023) : 103 	 | 	 C5-C6 (Brut 0-1023) : 539
C3-C4 (Brut 0-1023) : 84 	 | 	 C5-C6 (Brut 0-1023) : 530
C3-C4 (Brut 0-1023) : 23 	 | 	 C5-C6 (Brut 0-1023) : 451
C3-C4 (Brut 0-1023) : 23 	 | 	 C5-C6 (Brut 0-1023) : 339
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 237
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 145
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 64
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
C3-C4 (Brut 0-1023) : 0 	 | 	 C5-C6 (Brut 0-1023) : 0
